time,strain
3.910194089,4.11E-06
3.912147333,3.66E-06
3.914100577,3.02E-06
3.916053821,4.32E-06
3.918007065,3.52E-06
3.919960309,4.83E-06
3.921913553,4.52E-06
3.923866797,5.12E-06
3.925820041,3.96E-06
3.927773285,4.36E-06
3.929726529,4.23E-06
3.931679773,3.29E-06
3.933633017,3.01E-06
3.935586261,2.82E-06
3.937539505,2.92E-06
3.939492749,4.05E-06
3.941445993,4.44E-06
3.943399237,5.65E-06
3.945352481,3.98E-06
3.947305726,5.06E-06
3.94925897,3.74E-06
3.951212214,3.30E-06
3.953165458,2.89E-06
3.955118702,2.44E-06
3.957071946,3.37E-06
3.95902519,2.72E-06
3.960978434,4.50E-06
3.962931678,4.27E-06
3.964884922,4.78E-06
3.966838166,5.02E-06
3.96879141,3.78E-06
3.970744654,5.06E-06
3.972697898,2.47E-06
3.974651142,1.46E-06
3.976604386,2.14E-06
3.97855763,1.23E-06
3.980510874,5.28E-06
3.982464118,6.90E-07
3.984417363,5.71E-06
3.986370607,5.00E-06
3.988323851,4.94E-06
3.990277095,5.26E-06
3.992230339,3.39E-06
3.994183583,4.94E-06
3.996136827,3.01E-06
3.998090071,5.20E-06
4.000043315,7.25E-07
4.001996559,2.18E-06
4.003949803,2.24E-06
4.005903047,2.25E-06
4.007856291,4.83E-06
4.009809535,5.45E-06
4.011762779,6.54E-06
4.013716023,8.57E-06
4.015669267,7.70E-06
4.017622511,5.91E-06
4.019575755,8.52E-06
4.021529,2.45E-06
4.023482244,5.96E-06
4.025435488,2.42E-06
4.027388732,3.78E-06
4.029341976,6.47E-06
4.03129522,3.62E-06
4.033248464,6.68E-06
4.035201708,3.95E-06
4.037154952,6.01E-06
4.039108196,5.12E-06
4.04106144,7.57E-06
4.043014684,6.42E-06
4.044967928,6.24E-06
4.046921172,7.33E-06
4.048874416,2.82E-06
4.05082766,3.96E-06
4.052780904,2.18E-06
4.054734148,5.27E-06
4.056687392,4.08E-06
4.058640637,6.18E-06
4.060593881,6.85E-06
4.062547125,9.09E-06
4.064500369,7.73E-06
4.066453613,4.79E-06
4.068406857,6.79E-06
4.070360101,2.60E-06
4.072313345,1.30E-06
4.074266589,1.84E-06
4.076219833,1.14E-06
4.078173077,1.69E-06
4.080126321,3.41E-07
4.082079565,6.98E-07
4.084032809,-5.28E-07
4.085986053,-2.76E-06
4.087939297,-1.71E-06
4.089892541,-3.21E-06
4.091845785,-4.24E-06
4.093799029,-3.97E-06
4.095752274,-3.06E-06
4.097705518,-4.30E-06
4.099658762,-2.55E-06
4.101612006,-3.37E-06
4.10356525,-2.37E-06
4.105518494,-4.22E-06
4.107471738,-5.49E-06
4.109424982,-7.95E-06
4.111378226,-8.07E-06
4.11333147,-9.93E-06
4.115284714,-1.30E-05
4.117237958,-1.28E-05
4.119191202,-1.60E-05
4.121144446,-1.56E-05
4.12309769,-1.39E-05
4.125050934,-1.54E-05
4.127004178,-1.62E-05
4.128957422,-1.79E-05
4.130910666,-2.08E-05
4.13286391,-2.27E-05
4.134817155,-2.32E-05
4.136770399,-2.43E-05
4.138723643,-2.86E-05
4.140676887,-3.32E-05
4.142630131,-3.14E-05
4.144583375,-3.16E-05
4.146536619,-3.44E-05
4.148489863,-3.71E-05
4.150443107,-3.90E-05
4.152396351,-3.98E-05
4.154349595,-4.41E-05
4.156302839,-5.99E-05
4.158256083,-6.82E-05
4.160209327,-6.69E-05
4.162162571,-6.34E-05
4.164115815,-5.88E-05
4.166069059,-5.90E-05
4.168022303,-4.93E-05
4.169975547,-4.48E-05
4.171928792,-3.86E-05
4.173882036,-3.38E-05
4.17583528,-3.27E-05
4.177788524,-2.33E-05
4.179741768,-2.06E-05
4.181695012,-1.91E-05
4.183648256,-1.54E-05
4.1856015,-1.44E-05
4.187554744,-1.68E-05
4.189507988,-1.64E-05
4.191461232,-2.22E-05
4.193414476,-2.44E-05
4.19536772,-2.71E-05
4.197320964,-2.35E-05
4.199274208,-2.47E-05
4.201227452,-2.65E-05
4.203180696,-1.48E-05
4.20513394,-2.21E-05
4.207087184,-1.60E-05
4.209040429,-1.32E-05
4.210993673,-1.49E-05
4.212946917,-7.59E-06
4.214900161,-6.66E-06
4.216853405,-1.03E-05
4.218806649,-7.17E-07
4.220759893,-2.67E-06
4.222713137,9.10E-07
4.224666381,1.74E-06
4.226619625,7.48E-06
4.228572869,3.51E-06
4.230526113,8.25E-06
4.232479357,2.62E-06
4.234432601,1.37E-06
4.236385845,2.47E-06
4.238339089,-2.98E-06
4.240292333,-2.60E-06
4.242245577,2.38E-06
4.244198821,1.14E-06
4.246152066,8.08E-06
4.24810531,1.03E-06
4.250058554,1.41E-05
4.252011798,6.32E-06
4.253965042,6.87E-06
4.255918286,6.50E-06
4.25787153,1.01E-05
4.259824774,9.19E-06
4.261778018,1.02E-05
4.263731262,1.30E-05
4.265684506,1.25E-05
4.26763775,9.86E-06
4.269590994,1.10E-05
4.271544238,9.37E-06
4.273497482,1.05E-05
4.275450726,1.06E-05
4.27740397,1.24E-05
4.279357214,1.47E-05
4.281310458,1.62E-05
4.283263703,1.51E-05
4.285216947,1.13E-05
4.287170191,1.11E-05
4.289123435,1.23E-05
4.291076679,1.05E-05
4.293029923,9.08E-06
4.294983167,1.29E-05
4.296936411,1.09E-05
4.298889655,1.37E-05
4.300842899,1.01E-05
4.302796143,1.04E-05
4.304749387,6.82E-06
4.306702631,6.03E-06
4.308655875,7.79E-06
4.310609119,6.74E-06
4.312562363,4.51E-06
4.314515607,7.84E-06
4.316468851,5.06E-06
4.318422095,4.75E-06
4.32037534,5.74E-06
4.322328584,2.63E-06
4.324281828,6.26E-06
4.326235072,1.52E-06
4.328188316,-9.59E-07
4.33014156,3.40E-06
4.332094804,-5.26E-06
4.334048048,-5.36E-06
4.336001292,-7.04E-06
4.337954536,-8.65E-06
4.33990778,-6.68E-06
4.341861024,-8.32E-06
4.343814268,-7.87E-06
4.345767512,-1.08E-05
4.347720756,-1.19E-05
4.349674,-1.69E-05
4.351627244,-1.69E-05
4.353580488,-1.82E-05
4.355533732,-2.29E-05
4.357486977,-2.23E-05
4.359440221,-2.58E-05
4.361393465,-2.61E-05
4.363346709,-2.37E-05
4.365299953,-2.49E-05
4.367253197,-2.53E-05
4.369206441,-2.63E-05
4.371159685,-2.91E-05
4.373112929,-4.52E-05
4.375066173,-5.50E-05
4.377019417,-5.47E-05
4.378972661,-4.76E-05
4.380925905,-4.30E-05
4.382879149,-3.96E-05
4.384832393,-3.58E-05
4.386785637,-3.24E-05
4.388738881,-2.50E-05
4.390692125,-2.10E-05
4.392645369,-1.88E-05
4.394598614,-1.41E-05
4.396551858,-5.01E-06
4.398505102,-1.11E-05
4.400458346,-1.10E-05
4.40241159,-8.63E-06
4.404364834,-8.20E-06
4.406318078,-9.15E-06
4.408271322,-1.43E-05
